,TCGA-0001,TCGA-0002,TCGA-0003,TCGA-0004,TCGA-0005,TCGA-0006,TCGA-0007,TCGA-0008,TCGA-0009,TCGA-0010,TCGA-0011,TCGA-0012,TCGA-0013,TCGA-0014,TCGA-0015,TCGA-0016,TCGA-0017,TCGA-0018,TCGA-0019,TCGA-0020,TCGA-0021,TCGA-0022,TCGA-0023,TCGA-0024,TCGA-0025,TCGA-0026,TCGA-0027,TCGA-0028,TCGA-0029,TCGA-0030,TCGA-0031,TCGA-0032,TCGA-0033,TCGA-0034,TCGA-0035,TCGA-0036,TCGA-0037,TCGA-0038,TCGA-0039,TCGA-0040,TCGA-0041,TCGA-0042,TCGA-0043,TCGA-0044,TCGA-0045,TCGA-0046,TCGA-0047,TCGA-0048,TCGA-0049,TCGA-0050,TCGA-0051,TCGA-0052,TCGA-0053,TCGA-0054,TCGA-0055,TCGA-0056,TCGA-0057,TCGA-0058,TCGA-0059,TCGA-0060,TCGA-0061,TCGA-0062,TCGA-0063,TCGA-0064,TCGA-0065,TCGA-0066,TCGA-0067,TCGA-0068,TCGA-0069,TCGA-0070,TCGA-0071,TCGA-0072,TCGA-0073,TCGA-0074,TCGA-0075,TCGA-0076,TCGA-0077,TCGA-0078,TCGA-0079,TCGA-0080,TCGA-0081,TCGA-0082,TCGA-0083,TCGA-0084,TCGA-0085,TCGA-0086,TCGA-0087,TCGA-0088,TCGA-0089,TCGA-0090,TCGA-0091,TCGA-0092,TCGA-0093,TCGA-0094,TCGA-0095,TCGA-0096,TCGA-0097,TCGA-0098,TCGA-0099,TCGA-0100
Gene_11,5.472183523,4.315947319,2.800548203,1.967043416,3.854000335,3.309319876,4.252880891,3.734395286,4.594116016,2.080030161,5.252462598,3.000562594,7.672407384,1.925924459,6.475215582,3.001029486,1.962640967,2.134125761,2.315964765,3.360477151,3.530423177,2.040408429,2.685381232,7.933824321,6.448010187,3.380967242,2.770427773,2.8864162,3.694181397,1.630038636,2.390043894,1.180228381,3.318827511,3.756914354,2.134872165,5.971471513,1.472729039,1.307102114,3.041120124,4.588481545,6.308915841,2.160971456,4.6615146,2.666444042,2.493497517,4.22842663,3.766557443,1.235905527,5.687496534,5.419728257,1.988178015,3.313157846,3.479940142,3.09669955,2.064416094,1.94291285,2.683771186,4.885953763,3.567268145,2.258481837,3.998220373,0.654246354,4.827761247,1.138991373,2.267730449,1.552963518,1.422846243,4.856963234,2.151465847,3.232487423,2.655252385,3.450504367,2.824724805,1.431186596,4.473331396,2.123618999,1.24820816,2.194474082,5.756789238,4.158318854,2.283419118,2.282727838,2.314474061,7.678114366,3.290263741,3.370364247,4.550065948,3.062999239,2.388054284,2.464096171,2.622687015,2.668159428,3.911084776,2.789808465,3.920895371,2.610760896,2.827287002,1.000900063,4.298060341,3.232462524
Gene_12,4.477232253,0.638823108,7.722880007,2.535029277,4.730786219,1.616150418,3.692807292,1.605270404,1.989961953,7.078171962,2.471088643,3.030466102,4.199787234,3.482815241,2.930606659,3.262456702,9.040439519,2.64108707,3.005817337,4.596647337,4.724505817,4.921016687,3.741045475,1.534949595,6.151621872,1.532388001,3.162357307,1.864256054,2.632491738,3.203939688,3.192098724,3.356706809,6.091264128,3.410187076,2.405894294,4.401932214,4.927024442,1.471373168,3.664529809,3.859688077,2.34249886,5.407859761,2.52179817,2.894430076,2.492943368,2.739538632,1.571235821,1.323096151,6.033049061,1.779832619,1.65583237,0.92617224,1.97490269,1.402778767,6.178080225,4.50374172,1.926923765,8.383101075,4.441014065,2.310778101,0.779032232,8.546067933,1.356915035,1.193989984,4.532552361,9.206191098,5.431071311,3.603676448,3.659685339,4.164964613,3.972772823,3.128631573,2.863660072,2.634526412,1.864546212,2.362363171,1.165932963,2.587857172,1.658153189,1.565500125,2.974116665,5.452101568,4.30233674,1.239551596,1.657293635,4.350912503,1.663221365,2.42949502,3.578794635,1.675024467,2.86534211,1.395129514,2.01237613,3.189585487,1.225688998,3.387991842,2.6917219,3.583159586,3.040302652,5.376675331
Gene_13,2.893920772,2.193058685,2.889688618,3.566729304,2.785507367,2.774015323,1.913634199,1.951404835,1.348101578,6.519439276,1.459462741,1.922348088,1.897991776,4.252309251,2.345562302,5.072688922,1.941099738,3.12519625,1.790198439,7.945252368,1.50110393,3.173738895,3.731791602,3.343103438,2.477763083,2.547441826,2.77848478,2.525651374,4.401474324,8.209249454,2.057011307,1.370394302,2.600903737,9.873502649,1.818774124,6.169133576,6.289303964,2.061030044,3.612830509,6.136154921,2.248888579,2.455203918,2.032282495,1.636601171,1.964742567,1.474073809,2.765003039,1.849681356,3.055346344,1.248636526,3.207334172,4.123756339,1.003137089,3.277327438,5.022031315,1.484650648,6.273197504,3.351840187,1.910746631,2.643530835,3.593632237,2.823571846,3.558638387,1.715429014,2.958494168,1.340634154,2.571236648,1.729869858,1.881811786,5.043229182,4.691043537,3.686100265,1.574351777,2.320530388,4.985575534,2.917883302,8.66823132,3.309042656,2.992246845,2.329006468,2.90597933,2.518755882,3.873096585,4.385708378,1.834928048,1.397078853,1.085344354,3.504317093,1.565674461,0.92640359,3.301210774,9.454584524,2.710043115,4.133999694,2.831806024,2.587145575,4.303971674,2.351051625,3.107119705,3.19264237
Gene_14,1.946347955,4.463892641,2.490591224,1.862886973,3.554644015,1.734581214,2.756855114,2.705916039,4.678360757,3.446465167,2.684478604,4.091383388,5.447211218,3.592704111,2.732388978,1.410694144,1.595908503,2.333542847,2.004197836,2.475678125,2.796377872,3.542548478,2.624133145,3.466865328,2.807339415,1.012342262,1.699496963,2.529334494,1.484610768,3.669165915,5.843765791,4.999715075,2.443126483,5.727980747,2.92804138,2.296662574,2.000302998,2.336759538,2.23873638,2.960055775,2.945524767,2.722424953,3.382006204,4.929921857,4.370061437,1.293757811,0.75808439,4.336900644,1.372399477,2.429334373,1.514285161,1.104077099,3.563457795,3.973222905,2.037543264,0.744143679,2.068611845,3.306538933,1.297636088,2.979274933,2.697553026,3.631499868,2.885765447,1.671072322,4.944548966,2.511135932,2.681423286,1.704660585,2.177895132,1.746473554,2.493100135,6.397160628,1.3689574,1.213148809,5.672246026,2.448163524,1.945392256,4.572007305,2.008106484,6.773411381,3.815084965,2.12983454,7.993702999,2.0080067,3.939475868,3.157076023,5.211515231,5.934338702,2.762129871,1.865055973,3.421181884,1.93700374,7.438681562,2.91033346,2.264466577,2.981242479,1.386020727,1.672288388,4.95405758,1.957274336
Gene_15,1.610499708,3.554898019,4.917754763,3.894154783,4.472841294,1.86190928,1.335218123,5.758441274,2.31326531,2.397876351,5.280902816,3.589866462,3.414202325,8.02451453,1.970408506,4.322872293,2.79688574,3.108984481,5.837100672,3.504044519,3.557820149,4.647147863,2.264884208,1.786744352,1.612193063,1.016963987,7.599660422,1.565798343,2.433603762,2.366929037,3.169910484,4.087234607,4.179688592,2.030863924,2.500371056,3.130804422,2.40044572,6.07190739,3.474628184,3.925284737,3.786494414,4.887773724,2.975793658,1.42131717,3.319598945,1.962700936,2.086924934,3.644364527,5.04875428,2.747347191,3.172171935,6.366866748,3.066008613,9.982579832,3.606561491,1.127066929,3.96169043,3.288985611,5.180369455,3.806045317,2.536466594,1.473809996,2.44853129,1.77666813,2.033458982,3.648401776,6.264835006,3.311283124,1.494898735,3.394991761,4.944697268,2.003926584,2.542102302,2.738318641,1.835929409,3.758952082,2.558768085,3.352700773,1.744126594,2.184246352,3.90083518,2.255977644,6.44614273,2.225945807,3.041474294,4.333152841,1.337519974,1.127040977,1.267658937,5.110473451,2.062813705,9.767881867,2.050074637,2.981050191,5.877050241,7.411600768,7.619812692,4.973794926,4.53593512,3.65561183
Gene_16,4.011561384,2.06350737,1.805613744,2.713699332,2.496544782,2.167091564,3.850464243,4.382645793,2.841134497,5.690311777,1.53595977,2.467413091,1.899496478,1.069008616,2.608198249,2.557745601,5.793432055,3.726262953,1.628902684,6.869190603,5.005397588,3.636598809,2.427247624,1.682499325,2.2566843,4.685039327,6.974726762,5.880382226,2.128835867,1.553004254,2.916671659,1.122749196,3.194989678,2.524893054,2.153257365,1.22464189,3.514158357,2.082667617,1.514433713,0.646532956,2.681141261,6.593773524,6.237812795,2.162904235,2.011526667,3.436271881,1.650052788,3.16102376,3.987004269,5.020184128,2.585510468,2.455089274,1.752439306,1.797793039,2.427253944,3.266381357,4.292169487,1.819224888,5.733603892,2.373672181,2.689395246,1.870852408,0.808867522,4.229241651,3.929145407,2.361592599,2.810873695,3.518270765,1.244491573,2.086470039,4.043587689,1.451874222,3.148036629,1.379483423,3.432246459,2.670269113,1.212196608,4.866474131,1.882694907,1.812802121,3.005021127,4.827451433,1.635729841,2.803419508,3.368300283,3.84415112,2.968986883,2.262535485,1.797155055,2.837921567,1.59031243,0.63085752,3.381366447,4.27151011,0.834046421,1.640719143,3.704606816,7.604557471,2.746690834,1.88890733
Gene_17,2.48072729,5.4056149,1.96800022,1.822855079,2.135345027,1.687647751,2.890227324,6.124757901,3.194848397,2.396054075,2.349245859,1.244090319,4.227263633,2.614522294,2.483726475,13.41741894,3.156224246,1.866573645,2.196403394,4.826988888,2.876675265,1.324269532,4.30429976,1.946295763,6.935470447,4.664702376,2.17350061,5.157789937,2.81208937,4.163628116,3.463800542,1.780370827,1.970377372,4.549331999,2.299317487,2.221484727,1.686134634,3.359524791,7.623704906,1.593979218,2.751399602,5.507497125,2.612164804,3.408205472,1.598080523,3.367442481,2.475464035,4.449826016,4.92189208,9.922270945,3.632120315,3.199191617,2.99574261,2.278271072,3.219551042,2.345032579,2.957163371,5.252996984,1.64333665,4.806356346,5.251729935,2.56245488,0.940891499,2.005892315,5.199161036,2.687377924,1.649296583,2.111951791,4.138403201,3.572861388,2.412187351,2.262765627,2.23473114,1.713940161,6.09633545,2.313681006,4.995708583,5.816263388,4.477905654,2.190631468,3.326314869,2.68559471,1.730047854,3.196893768,1.507541389,4.92261402,2.154785864,3.005908428,3.131912799,2.388218076,3.644965501,2.143731863,4.202369987,1.386815567,2.895592606,7.166837616,1.648448162,1.936975072,3.514699127,2.97365219
Gene_18,3.23916328,3.471523564,3.73355452,4.734375941,3.336456543,2.409384143,3.804889121,7.028272671,2.543861308,1.669852581,4.728179925,2.559493578,0.917287097,4.152501146,2.079933469,2.597977763,3.209098849,2.989929594,3.875698515,2.186401004,3.513289925,2.387451935,3.933010804,3.697599192,1.702811399,4.678563218,2.079272925,4.071570915,3.266253654,6.814766749,2.430913248,2.282660393,2.692015574,2.335930023,4.055082169,1.211482354,1.60505623,1.59376404,4.371708072,6.393658797,2.579963859,2.498246631,2.815179659,4.859517491,1.709709431,3.062355807,4.426454013,3.492252994,2.988557437,4.484033814,0.70355013,3.814988536,1.960034663,1.088372598,3.509948271,5.402324223,2.537744623,4.377322664,6.086901267,5.245954598,6.171748991,3.939539135,2.82276477,1.220202824,2.403602746,1.783141511,8.048384264,2.489438278,2.890999828,3.581360256,2.778194408,6.344101732,1.991076245,2.996076884,1.875292612,1.404931777,2.001937486,2.66840683,2.193171978,1.922813562,1.345601693,2.607644214,1.28099845,3.975012854,2.832670416,1.311569157,2.328898622,1.866232695,3.188616919,5.313364354,1.064402666,2.879201618,2.509123784,3.802542942,3.024053996,1.866407265,2.317462952,1.825743081,4.655287029,2.747402238
Gene_19,7.032873306,2.637073008,1.907505975,1.275250722,1.10343734,1.231129485,3.106707008,3.505602881,1.232943807,4.252551506,2.135006037,2.925298439,6.086725876,4.256382657,2.376751587,1.740902901,0.926901755,1.897283906,2.445953143,1.65932391,2.545613079,2.824767164,2.429224351,1.964030442,2.957449779,3.390476001,1.575858907,5.503950955,2.587535644,2.744022231,3.873301374,3.05447603,4.377896321,3.137926033,2.001268666,3.25682164,1.53439612,2.869907654,2.673490721,2.449641216,2.549076774,1.060855308,2.066047881,2.847445995,2.944468119,1.626064096,5.118461576,1.76281608,4.413767355,3.365569466,1.967741316,6.603867395,1.496578622,4.304138866,4.482994145,1.943887619,5.453363913,2.398819503,3.14038943,3.096154691,2.541731723,4.077174144,4.042019164,1.133980505,5.218291876,1.183828888,4.555216693,4.774802293,1.575411936,2.213539584,1.563845209,2.441321485,2.330267011,4.014168655,5.233887831,5.462146833,2.052207384,2.448288143,1.171495226,1.816778662,4.403615097,6.096966862,1.466422211,2.021354579,2.682628565,3.127020328,1.813390396,3.360300896,2.144872964,2.698709955,3.572058799,2.727024628,2.185417869,2.573315378,2.600798519,2.259163213,2.388348132,6.045556777,3.598293567,2.34494006
Gene_20,3.851555922,2.300416642,4.886920345,3.270101735,2.57628626,3.400282318,1.239318862,1.547462149,1.496362999,2.919672777,6.46405933,8.294976355,3.73977538,3.491817022,1.104586584,2.072308286,1.833282588,1.992870777,2.499093561,2.146749228,1.010403842,3.950946332,1.589832218,3.063700295,7.667888889,1.716534966,0.767095663,2.356076862,4.713731371,7.236760975,1.46994532,3.484587287,2.154039188,2.578030726,10.19779656,1.282119844,3.085981721,3.434414933,4.67810523,2.854770849,3.170931108,2.234853586,3.109815721,2.289661207,3.709087706,2.259615875,3.28231904,2.678799089,4.773239073,2.649320357,1.120173704,5.108780624,1.728292366,1.96033785,2.01812599,5.404430319,0.93441267,13.05112408,4.609080616,3.039276389,2.644687735,3.135463586,3.527400559,3.753196185,3.588743829,2.842802441,2.462878505,2.520263245,2.465872894,4.791699013,3.65749454,0.624880831,3.773301653,2.996269747,2.692972553,2.238353998,4.768617163,4.365633153,1.846997165,3.331844797,1.672252689,1.363685441,1.987030648,4.183702986,4.377870954,3.513254128,3.906133044,3.518691345,1.97241603,3.373535392,4.056030405,3.963572103,4.925652168,3.873474561,3.240488544,4.641674196,2.682473644,1.749032319,2.505445387,1.873013587
